borrowed_id,diatonic_chord,borrowed_chord,source_mode,target_mode,borrowed_category,modal_relationship,voice_leading_behavior,functional_role,harmonic_color_change,emotional_effect,resolution_tendencies,typical_contexts,voice_leading_difficulty,pedagogical_value,historical_usage,style_associations,theoretical_basis
bvi_from_major,vi,bvi,Major,Major,Chromatic Alteration,Chromatic lowering of sixth,"Natural to flat sixth, chromatic alteration",Submediant with chromatic lowering,"Major to minor, darkening effect","Darker, more introspective character","Often moves to IV or V, chromatic voice leading","Romantic harmony, contemporary ballads",Medium - chromatic alteration,Medium - chromatic harmony technique,Romantic to Modern,"Classical, Contemporary",Chromatic alteration of diatonic chord
vii_dim_in_major,vii°,vii°7,Harmonic Minor,Major,Harmonic Function,Leading tone seventh harmony,Full diminished seventh instead of half-diminished,Enhanced leading tone function,Half-diminished to full diminished,"More dramatic, classical tension","Strong resolution to I, classical cadential approach","Classical harmony, Bach chorales, formal cadences",Advanced - diminished seventh resolution,High - essential classical technique,Baroque to Classical,Classical,Borrowed from minor key harmonic function
V_harmonic,v,V,Harmonic Minor,Natural Minor,Harmonic Minor,Harmonic minor borrowing,"Minor to major dominant, leading tone restored",Dominant function with leading tone,"Minor to major dominant, classical function restored",Classical tension and resolution,Strong authentic cadence to i,"Classical minor harmony, authentic cadences",Medium - accidental needed for leading tone,High - essential classical minor harmony,Baroque to Classical,Classical,"Harmonic minor scale, raised seventh for leading tone"
vii_dim_harmonic,bVII,vii°,Harmonic Minor,Natural Minor,Harmonic Minor,Harmonic minor borrowing,Major flat seven to diminished leading tone,Leading tone harmony instead of subtonic,"Major to diminished, classical function",Formal classical tension,"Strong resolution to i, authentic approach",Classical minor key progressions,Advanced - diminished chord resolution,High - classical harmony essential,Baroque to Classical,Classical,"Harmonic minor, diminished seventh chord"
ii_melodic,ii°,ii,Melodic Minor Asc,Natural Minor,Melodic Minor,Melodic minor ascending borrowing,Diminished to minor from raised sixth,Supertonic with minor quality,"Diminished to minor, stability gain",More stable predominant approach,Smooth progression to V,Advanced classical minor harmony,Medium - melodic minor understanding required,Medium - specialized technique,Classical Period,Classical,Melodic minor ascending scale influence
iv_melodic,iv,IV,Melodic Minor Asc,Natural Minor,Melodic Minor,Melodic minor ascending borrowing,Minor to major subdominant from melodic minor,Subdominant with raised sixth degree influence,"Minor to major, brightening effect","Brighter subdominant, less melancholy",Natural motion to V or i,"Classical melodic minor harmony, sophisticated progressions",Medium - raised sixth degree consideration,Medium - advanced minor key technique,Classical Period,Classical,"Melodic minor ascending, raised sixth degree"
IV_from_dorian_in_minor,iv,IV,Dorian,Natural Minor,Modal Interchange,Dorian borrowing in minor,Minor to major subdominant via Dorian influence,Subdominant brightened by Dorian sixth,"Minor to major, Dorian brightening","Less melancholy, more hopeful subdominant",Natural progression to V or bVII,"Celtic music, folk ballads, modal harmony",Medium - modal relationship understanding,Medium - intermediate modal concept,Traditional to Modern,"Celtic, Folk, Modal",Dorian mode creating major IV in minor context
VI_dorian,bVI,VI,Dorian,Natural Minor,Modal Interchange,Dorian mode borrowing,Natural six instead of flat six,Submediant with brighter Dorian character,"Flat to natural sixth, subtle brightening","Slightly brighter, more hopeful than natural minor","Moves naturally to ii or IV, Dorian progression","Folk music, Celtic music, modal jazz",Easy - Dorian scale relationship,Medium - modal harmony concept,Traditional to Modern,"Folk, Celtic, Modal Jazz","Dorian mode, natural sixth degree"
ii_dorian,ii°,ii,Dorian,Natural Minor,Modal Interchange,Dorian mode borrowing,"Diminished to minor, Dorian characteristic",Supertonic with minor rather than diminished,"Diminished to minor, stability increase","More stable, less tense than ii°","Smooth motion to V or i, less dramatic approach","Folk music, Celtic harmony, modal progressions",Medium - quality change from diminished,Medium - modal harmony understanding,Traditional to Modern,"Folk, Celtic, Modal","Dorian mode, natural sixth creating minor ii"
sharp_IV_lydian,IV,#IV°,Lydian,Major,Modal Interchange,Lydian mode borrowing,"Perfect to augmented fourth, Lydian characteristic",Subdominant with raised fourth degree,"Major to diminished, Lydian brightness with tension","Bright, mysterious, ethereal quality","Resolution to V or I, passing chord function","Film music, jazz harmony, contemporary classical",Advanced - augmented fourth resolution,Medium - modal harmony technique,Modern,"Jazz, Film Music, Contemporary","Lydian mode, raised fourth degree"
