chord_name,chord_symbol,chord_type,root_note,chord_tones,chord_intervals,inversion_type,bass_note,chord_quality,tension_extensions,alterations,common_progressions,chord_scale_relationship,harmonic_series_ratios
C major,CM,major,Tone_C,"Tone_C, Tone_E, Tone_G","0,4,7",root,C,major,none,none,"I-vi-IV-V, vi-IV-I-V",major_scale,1:5/4:3/2
C major,CM,major,Tone_C,"Tone_C, Tone_E, Tone_G","0,4,7",1,E,major,none,none,"I-vi-IV-V, vi-IV-I-V",major_scale,1:5/4:3/2
C major,CM,major,Tone_C,"Tone_C, Tone_E, Tone_G","0,4,7",2,G,major,none,none,"I-vi-IV-V, vi-IV-I-V",major_scale,1:5/4:3/2
C minor,Cm,minor,Tone_C,"Tone_C, Tone_D#, Tone_G","0,3,7",root,C,minor,none,3,"I-vi-IV-V, vi-IV-I-V",natural_minor_scale,1:6/5:3/2
C minor,Cm,minor,Tone_C,"Tone_C, Tone_D#, Tone_G","0,3,7",1,D#,minor,none,3,"I-vi-IV-V, vi-IV-I-V",natural_minor_scale,1:6/5:3/2
C minor,Cm,minor,Tone_C,"Tone_C, Tone_D#, Tone_G","0,3,7",2,G,minor,none,3,"I-vi-IV-V, vi-IV-I-V",natural_minor_scale,1:6/5:3/2
C diminished,Cdim,diminished,Tone_C,"Tone_C, Tone_D#, Tone_F#","0,3,6",root,C,diminished,none,"3,6","I-ii-V-I, I-IV-V-I",chromatic_or_modal,
C diminished,Cdim,diminished,Tone_C,"Tone_C, Tone_D#, Tone_F#","0,3,6",1,D#,diminished,none,"3,6","I-ii-V-I, I-IV-V-I",chromatic_or_modal,
C diminished,Cdim,diminished,Tone_C,"Tone_C, Tone_D#, Tone_F#","0,3,6",2,F#,diminished,none,"3,6","I-ii-V-I, I-IV-V-I",chromatic_or_modal,
C augmented,Caug,augmented,Tone_C,"Tone_C, Tone_E, Tone_G#","0,4,8",root,C,augmented,none,8,"I-vi-IV-V, vi-IV-I-V",chromatic_or_modal,
C augmented,Caug,augmented,Tone_C,"Tone_C, Tone_E, Tone_G#","0,4,8",1,E,augmented,none,8,"I-vi-IV-V, vi-IV-I-V",chromatic_or_modal,
C augmented,Caug,augmented,Tone_C,"Tone_C, Tone_E, Tone_G#","0,4,8",2,G#,augmented,none,8,"I-vi-IV-V, vi-IV-I-V",chromatic_or_modal,
C major_seventh,CM7,major_seventh,Tone_C,"Tone_C, Tone_E, Tone_G, Tone_B","0,4,7,11",root,C,major,none,11,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:15/8
C major_seventh,CM7,major_seventh,Tone_C,"Tone_C, Tone_E, Tone_G, Tone_B","0,4,7,11",1,E,major,none,11,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:15/8
C major_seventh,CM7,major_seventh,Tone_C,"Tone_C, Tone_E, Tone_G, Tone_B","0,4,7,11",2,G,major,none,11,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:15/8
C major_seventh,CM7,major_seventh,Tone_C,"Tone_C, Tone_E, Tone_G, Tone_B","0,4,7,11",3,B,major,none,11,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:15/8
C minor_seventh,Cm7,minor_seventh,Tone_C,"Tone_C, Tone_D#, Tone_G, Tone_A#","0,3,7,10",root,C,minor,none,3,"ii-V-I, IV-V-I",chromatic_or_modal,
C minor_seventh,Cm7,minor_seventh,Tone_C,"Tone_C, Tone_D#, Tone_G, Tone_A#","0,3,7,10",1,D#,minor,none,3,"ii-V-I, IV-V-I",chromatic_or_modal,
C minor_seventh,Cm7,minor_seventh,Tone_C,"Tone_C, Tone_D#, Tone_G, Tone_A#","0,3,7,10",2,G,minor,none,3,"ii-V-I, IV-V-I",chromatic_or_modal,
C minor_seventh,Cm7,minor_seventh,Tone_C,"Tone_C, Tone_D#, Tone_G, Tone_A#","0,3,7,10",3,A#,minor,none,3,"ii-V-I, IV-V-I",chromatic_or_modal,
C dominant_seventh,C7,dominant_seventh,Tone_C,"Tone_C, Tone_E, Tone_G, Tone_A#","0,4,7,10",root,C,dominant,none,none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9
C dominant_seventh,C7,dominant_seventh,Tone_C,"Tone_C, Tone_E, Tone_G, Tone_A#","0,4,7,10",1,E,dominant,none,none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9
C dominant_seventh,C7,dominant_seventh,Tone_C,"Tone_C, Tone_E, Tone_G, Tone_A#","0,4,7,10",2,G,dominant,none,none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9
C dominant_seventh,C7,dominant_seventh,Tone_C,"Tone_C, Tone_E, Tone_G, Tone_A#","0,4,7,10",3,A#,dominant,none,none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9
C diminished_seventh,Cdim7,diminished_seventh,Tone_C,"Tone_C, Tone_D#, Tone_F#, Tone_A","0,3,6,9",root,C,diminished,none,"3,6,9","ii-V-I, IV-V-I",chromatic_or_modal,
C diminished_seventh,Cdim7,diminished_seventh,Tone_C,"Tone_C, Tone_D#, Tone_F#, Tone_A","0,3,6,9",1,D#,diminished,none,"3,6,9","ii-V-I, IV-V-I",chromatic_or_modal,
C diminished_seventh,Cdim7,diminished_seventh,Tone_C,"Tone_C, Tone_D#, Tone_F#, Tone_A","0,3,6,9",2,F#,diminished,none,"3,6,9","ii-V-I, IV-V-I",chromatic_or_modal,
C diminished_seventh,Cdim7,diminished_seventh,Tone_C,"Tone_C, Tone_D#, Tone_F#, Tone_A","0,3,6,9",3,A,diminished,none,"3,6,9","ii-V-I, IV-V-I",chromatic_or_modal,
C half_diminished,Cm7b5,half_diminished,Tone_C,"Tone_C, Tone_D#, Tone_F#, Tone_A#","0,3,6,10",root,C,half-diminished,none,"3,6","ii-V-I, IV-V-I",chromatic_or_modal,
C half_diminished,Cm7b5,half_diminished,Tone_C,"Tone_C, Tone_D#, Tone_F#, Tone_A#","0,3,6,10",1,D#,half-diminished,none,"3,6","ii-V-I, IV-V-I",chromatic_or_modal,
C half_diminished,Cm7b5,half_diminished,Tone_C,"Tone_C, Tone_D#, Tone_F#, Tone_A#","0,3,6,10",2,F#,half-diminished,none,"3,6","ii-V-I, IV-V-I",chromatic_or_modal,
C half_diminished,Cm7b5,half_diminished,Tone_C,"Tone_C, Tone_D#, Tone_F#, Tone_A#","0,3,6,10",3,A#,half-diminished,none,"3,6","ii-V-I, IV-V-I",chromatic_or_modal,
C minor_major_seventh,CmM7,minor_major_seventh,Tone_C,"Tone_C, Tone_D#, Tone_G, Tone_B","0,3,7,11",root,C,minor,none,"3,11","ii-V-I, IV-V-I",chromatic_or_modal,
C minor_major_seventh,CmM7,minor_major_seventh,Tone_C,"Tone_C, Tone_D#, Tone_G, Tone_B","0,3,7,11",1,D#,minor,none,"3,11","ii-V-I, IV-V-I",chromatic_or_modal,
C minor_major_seventh,CmM7,minor_major_seventh,Tone_C,"Tone_C, Tone_D#, Tone_G, Tone_B","0,3,7,11",2,G,minor,none,"3,11","ii-V-I, IV-V-I",chromatic_or_modal,
C minor_major_seventh,CmM7,minor_major_seventh,Tone_C,"Tone_C, Tone_D#, Tone_G, Tone_B","0,3,7,11",3,B,minor,none,"3,11","ii-V-I, IV-V-I",chromatic_or_modal,
C ninth,C9,ninth,Tone_C,"Tone_C, Tone_E, Tone_G, Tone_A#, Tone_D","0,4,7,10,14",root,C,dominant,14,none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4
C ninth,C9,ninth,Tone_C,"Tone_C, Tone_E, Tone_G, Tone_A#, Tone_D","0,4,7,10,14",1,E,dominant,14,none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4
C ninth,C9,ninth,Tone_C,"Tone_C, Tone_E, Tone_G, Tone_A#, Tone_D","0,4,7,10,14",2,G,dominant,14,none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4
C ninth,C9,ninth,Tone_C,"Tone_C, Tone_E, Tone_G, Tone_A#, Tone_D","0,4,7,10,14",3,A#,dominant,14,none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4
C ninth,C9,ninth,Tone_C,"Tone_C, Tone_E, Tone_G, Tone_A#, Tone_D","0,4,7,10,14",4,D,dominant,14,none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4
C eleventh,C11,eleventh,Tone_C,"Tone_C, Tone_E, Tone_G, Tone_A#, Tone_D, Tone_F","0,4,7,10,14,17",root,C,dominant,"14,17",none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4:11/4
C eleventh,C11,eleventh,Tone_C,"Tone_C, Tone_E, Tone_G, Tone_A#, Tone_D, Tone_F","0,4,7,10,14,17",1,E,dominant,"14,17",none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4:11/4
C eleventh,C11,eleventh,Tone_C,"Tone_C, Tone_E, Tone_G, Tone_A#, Tone_D, Tone_F","0,4,7,10,14,17",2,G,dominant,"14,17",none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4:11/4
C eleventh,C11,eleventh,Tone_C,"Tone_C, Tone_E, Tone_G, Tone_A#, Tone_D, Tone_F","0,4,7,10,14,17",3,A#,dominant,"14,17",none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4:11/4
C eleventh,C11,eleventh,Tone_C,"Tone_C, Tone_E, Tone_G, Tone_A#, Tone_D, Tone_F","0,4,7,10,14,17",4,D,dominant,"14,17",none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4:11/4
C eleventh,C11,eleventh,Tone_C,"Tone_C, Tone_E, Tone_G, Tone_A#, Tone_D, Tone_F","0,4,7,10,14,17",5,F,dominant,"14,17",none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4:11/4
C thirteenth,C13,thirteenth,Tone_C,"Tone_C, Tone_E, Tone_G, Tone_A#, Tone_D, Tone_F, Tone_A","0,4,7,10,14,17,21",root,C,dominant,"14,17,21",none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4:11/4:13/4
C thirteenth,C13,thirteenth,Tone_C,"Tone_C, Tone_E, Tone_G, Tone_A#, Tone_D, Tone_F, Tone_A","0,4,7,10,14,17,21",1,E,dominant,"14,17,21",none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4:11/4:13/4
C thirteenth,C13,thirteenth,Tone_C,"Tone_C, Tone_E, Tone_G, Tone_A#, Tone_D, Tone_F, Tone_A","0,4,7,10,14,17,21",2,G,dominant,"14,17,21",none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4:11/4:13/4
C thirteenth,C13,thirteenth,Tone_C,"Tone_C, Tone_E, Tone_G, Tone_A#, Tone_D, Tone_F, Tone_A","0,4,7,10,14,17,21",3,A#,dominant,"14,17,21",none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4:11/4:13/4
C thirteenth,C13,thirteenth,Tone_C,"Tone_C, Tone_E, Tone_G, Tone_A#, Tone_D, Tone_F, Tone_A","0,4,7,10,14,17,21",4,D,dominant,"14,17,21",none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4:11/4:13/4
