lower_note,upper_note,interval_name,semitones,frequency_ratio,cents,harmonic_series_position,consonance_level,interval_class,compound_interval,enharmonic_spellings,beat_frequency_hz_440,beat_frequency_hz_432,lower_freq_hz_440,upper_freq_hz_440,lower_freq_hz_432,upper_freq_hz_432,resolution_vectors,functional_tendencies,modern_applications,constructive_interference_ratio,destructive_interference_ratio,interference_pattern_type,phase_relationship_degrees,roughness_index
A0,A#0/Bb0,minor second,1,16:15,100,none,dissonant,m2,simple,minor second/augmented unison,1.64,1.61,27.5,29.14,27.0,28.610181818181800,up_half_step|down_half_step|chromatic_voice_exchange,leading_tone_resolution|neighbor_tone,cluster_harmony|semitone_displacement|chromatic_saturation,0.7618,0.0303,slow_beating,230.4,0.0547
A0,B0,major second,2,9:8,200,9th harmonic,mild dissonant,M2,simple,major second,3.37,3.31,27.5,30.87,27.0,30.308727272727300,step_resolution_both_directions|leap_to_consonance,passing_tone|suspension_resolution,quartal_harmony|secunda_harmony|tone_cluster_component,0.976,0.0024,moderate_beating,133.2,0.1123
A0,C1,minor third,3,6:5,300,none,consonant,m3,simple,minor third,5.2,5.11,27.5,32.7,27.0,32.10545454545460,stable|expand_to_fifth|contract_to_unison,tonic_triad_member|subdominant_approach,modal_color_tone|add9_chord_component|polychord_element,0.9016,0.0108,moderate_beating,72.0,0.1733
A0,C#1/Db1,major third,4,5:4,400,5th harmonic,consonant,M3,simple,major third/diminished fourth,7.15,7.02,27.5,34.65,27.0,34.020000000000000,stable|expand_to_fifth|contract_to_unison,dominant_chord_member|resolution_goal,lydian_characteristic|maj7#11_color|bitonality_anchor,0.9091,0.0099,moderate_beating,54.0,0.2383
A0,D1,perfect fourth,5,4:3,500,4th harmonic,consonant,P4,simple,perfect fourth,9.21,9.04,27.5,36.71,27.0,36.042545454545500,stable|suspension_down_to_third|quartal_voice_leading,suspension_preparation|plagal_motion,quartal_harmony_foundation|sus4_color|modal_frame,0.9845,0.0016,consonant_moderate_beating,75.6,0.0921
A0,D#1/Eb1,tritone,6,45:32,600,none,dissonant,TT,simple,augmented fourth/diminished fifth,11.39,11.18,27.5,38.89,27.0,38.18290909090910,resolution_to_sixth|resolution_to_third|chromatic_slide|stable_in_symmetric_contexts,dominant_seventh_tension|diminished_chord_core,symmetric_scale_anchor|french_sixth_color|whole_tone_element,0.5529,0.0748,fast_beating,140.4,0.3797
A0,E1,perfect fifth,7,3:2,700,3rd harmonic,consonant,P5,simple,perfect fifth,13.7,13.45,27.5,41.2,27.0,40.45090909090910,stable|power_interval|open_voicing_foundation,tonic_stability|dominant_generator,quartal_extension|power_chord_core|modal_drone,0.9821,0.0018,consonant_fast_beating,252.0,0.137
A0,F1,minor sixth,8,8:5,800,none,mild dissonant,m6,simple,minor sixth/augmented fifth,16.15,15.86,27.5,43.65,27.0,42.85636363636360,expand_to_octave|contract_to_fifth|chromatic_approach_to_fifth,submediant_approach|deceptive_resolution,dorian_characteristic|add6_color|chromatic_mediant,0.534,0.0803,fast_beating,54.0,0.5383
A0,F#1/Gb1,major sixth,9,5:3,900,none,mild dissonant,M6,simple,major sixth,18.75,18.41,27.5,46.25,27.0,45.40909090909090,expand_to_octave|contract_to_fifth|leading_tone_preparation,submediant_function|deceptive_cadence,lydian_extension|maj13_color|neapolitan_preparation,0.3548,0.1538,fast_beating,270.0,0.625
A0,G1,minor seventh,10,16:9,1000,none,dissonant,m7,simple,minor seventh,21.5,21.11,27.5,49.0,27.0,48.10909090909090,resolution_down_to_sixth|resolution_up_to_octave|suspension_character,dominant_seventh_dissonance|modal_mixture,modal_frame|min7_chord_color|blues_harmony_foundation,0.3143,0.1791,fast_beating,180.0,0.7167
A0,G#1/Ab1,major seventh,11,15:8,1100,15th harmonic,dissonant,M7,simple,major seventh/diminished octave,24.41,23.97,27.5,51.91,27.0,50.966181818181800,resolution_up_to_octave|chromatic_approach|half_step_tension,leading_tone_function|dominant_preparation,maj7_chord_color|chromatic_harmony|impressionist_dissonance,0.4709,0.101,fast_beating,147.6,0.8137
A0,A1,perfect octave,12,2:1,1200,2nd harmonic,consonant,P8,simple,perfect octave,27.5,27.0,27.5,55.0,27.0,54.0,stable|register_doubling|harmonic_reinforcement,tonic_reinforcement|structural_support,octave_displacement|register_transfer|harmonic_series_anchor,1.0,0.0,consonant_fast_beating,180.0,0.275
A0,B1,major ninth,14,9:4,1400,9th harmonic,mild dissonant,M9,compound,major second + octave,34.24,33.62,27.5,61.74,27.0,60.61745454545460,step_resolution_both_directions|leap_to_consonance|compound_spacing|register_displacement,passing_tone|suspension_resolution|extended_harmony,quartal_harmony|secunda_harmony|tone_cluster_component|jazz_extensions|contemporary_color,0.2898,0.1968,roughness,86.4,0.788
A0,C2,minor tenth,15,12:5,1500,none,consonant,m10,compound,minor third + octave,37.91,37.22,27.5,65.41,27.0,64.22072727272730,stable|expand_to_fifth|contract_to_unison|compound_spacing|register_displacement,tonic_triad_member|subdominant_approach|extended_harmony,modal_color_tone|add9_chord_component|polychord_element|jazz_extensions|contemporary_color,0.209,0.2746,roughness,327.6,0.6045
A0,D2,perfect eleventh,17,8:3,1700,4th harmonic,consonant,P11,compound,perfect fourth + octave,45.92,45.09,27.5,73.42,27.0,72.08509090909090,stable|suspension_down_to_third|quartal_voice_leading|compound_spacing|register_displacement,suspension_preparation|plagal_motion|extended_harmony,quartal_harmony_foundation|sus4_color|modal_frame|jazz_extensions|contemporary_color,0.1299,0.4011,roughness,331.2,0.204
A0,E2,perfect twelfth,19,3:1,1900,3rd harmonic,consonant,P12,compound,perfect fifth + octave,54.91,53.91,27.5,82.41,27.0,80.91163636363640,stable|power_interval|open_voicing_foundation|compound_spacing|register_displacement,tonic_stability|dominant_generator|extended_harmony,quartal_extension|power_chord_core|modal_drone|jazz_extensions|contemporary_color,0.0912,0.4992,roughness,327.6,0.9509
A0,F2,minor thirteenth,20,8:5,2000,none,mild dissonant,m13,compound,minor sixth + octave,59.81,58.72,27.5,87.31,27.0,85.72254545454550,expand_to_octave|contract_to_fifth|chromatic_approach_to_fifth|compound_spacing|register_displacement,submediant_approach|deceptive_resolution|extended_harmony,dorian_characteristic|add6_color|chromatic_mediant|jazz_extensions|contemporary_color,0.0784,0.5402,roughness,291.6,0.9019
A0,G2,minor fourteenth,22,16:9,2200,none,dissonant,m14,compound,minor seventh + octave,70.5,69.22,27.5,98.0,27.0,96.21818181818180,resolution_down_to_sixth|resolution_up_to_octave|suspension_character|compound_spacing|register_displacement,dominant_seventh_dissonance|modal_mixture|extended_harmony,modal_frame|min7_chord_color|blues_harmony_foundation|jazz_extensions|contemporary_color,0.0601,0.6099,roughness,180.0,0.795
A0,A2,perfect fifteenth,24,4:1,2400,2nd harmonic,consonant,P15,compound,double octave,82.5,81.0,27.5,110.0,27.0,108.0,stable|register_doubling|harmonic_reinforcement|compound_spacing|register_displacement,tonic_reinforcement|structural_support|extended_harmony,octave_displacement|register_transfer|harmonic_series_anchor|jazz_extensions|contemporary_color,0.0476,0.6667,roughness,180.0,0.675
A#0/Bb0,B0,minor second,1,16:15,100,none,dissonant,m2,simple,minor second/augmented unison,1.73,1.7,29.14,30.87,28.610181818181800,30.308727272727300,up_half_step|down_half_step|chromatic_voice_exchange,leading_tone_resolution|neighbor_tone,cluster_harmony|semitone_displacement|chromatic_saturation,0.7602,0.0306,slow_beating,262.8,0.0577
A#0/Bb0,C1,major second,2,9:8,200,9th harmonic,mild dissonant,M2,simple,major second,3.56,3.5,29.14,32.7,28.610181818181800,32.10545454545460,step_resolution_both_directions|leap_to_consonance,passing_tone|suspension_resolution,quartal_harmony|secunda_harmony|tone_cluster_component,0.9725,0.0028,moderate_beating,201.6,0.1187
A#0/Bb0,C#1/Db1,minor third,3,6:5,300,none,consonant,m3,simple,minor third,5.51,5.41,29.14,34.65,28.610181818181800,34.020000000000000,stable|expand_to_fifth|contract_to_unison,tonic_triad_member|subdominant_approach,modal_color_tone|add9_chord_component|polychord_element,0.9016,0.0108,moderate_beating,183.6,0.1837
