form_name,form_type,structure_pattern,typical_length,historical_period,genre_associations,key_characteristics,example_compositions,section_count,has_development,has_recapitulation,has_coda,complexity_level,description
Through-Composed,Art Song,A-B-C-D...,3-8 minutes,Romantic to Modern,"Art songs, Progressive rock",Continuous development without repetition,"Schubert Erlkönig, progressive rock epics",8,1,0,0,Advanced,Form with continuous development and little or no repetition
Chaconne,Baroque,Harmonic pattern variations,8-20 minutes,Baroque to Modern,Solo instrumental,Variations over repeating harmonic progression,Bach Chaconne for solo violin,10,1,0,0,Advanced,Variation form based on repeating harmonic progression rather than melody
Da Capo Aria,Baroque,ABA (with ornamentation),5-12 minutes,Baroque,"Opera, Oratorio",ABA form with improvised ornamentation on return,Handel opera arias,3,0,0,0,Advanced,Baroque aria form where the A section returns with elaborate improvised ornamentation
Fugue,Baroque,Subject-Answer-Episodes-Stretto,3-10 minutes,Baroque,"Keyboard, Choral, Orchestral","Imitative counterpoint, subject entries, episodic material","Bach Well-Tempered Clavier, Art of Fugue",4,1,0,0,Advanced,Contrapuntal form based on imitative entries of a subject
Passacaglia,Baroque,Ground bass with variations,5-15 minutes,Baroque to Modern,All genres,Repeating bass line with variations above,"Bach Passacaglia in C minor, Brahms Symphony No.4 finale",8,1,0,0,Advanced,Variation form built over a repeating bass line (ground bass)
Saraband,Baroque,Binary (AB),2-4 minutes,Baroque,Dance suites,"Slow triple meter, emphasis on second beat",Bach French Suites,2,0,0,0,Beginner,"Slow, stately dance in triple meter with characteristic rhythm"
Allemande,Baroque,Binary (AB),2-4 minutes,Baroque,Dance suites,"Moderate 4/4 time, flowing character",Bach Partitas,2,0,0,0,Intermediate,"Moderate-tempo dance with flowing, continuous character"
Courante,Baroque,Binary (AB),2-3 minutes,Baroque,Dance suites,"Triple meter, running character",Bach French Suites,2,0,0,0,Intermediate,"Lively dance in triple meter with running, continuous motion"
Gigue,Baroque,Binary (AB),2-3 minutes,Baroque,Dance suites,"Fast compound meter, often imitative",Bach English Suites,2,0,0,0,Intermediate,"Lively dance in compound meter, often the final movement of baroque suites"
Ground Bass,Baroque,Repeating bass with variations,3-10 minutes,Baroque to Modern,All genres,Short repeating bass pattern with variations above,Purcell Didos Lament,6,1,0,0,Intermediate,"Form built on a short, continuously repeated bass pattern with variations in upper voices"
Ritornello Form,Baroque,Tutti-Solo-Tutti-Solo...,8-20 minutes,Baroque,Concertos,Alternating tutti and solo sections,"Vivaldi Four Seasons, Bach Brandenburg Concertos",6,0,0,0,Intermediate,Baroque concerto form alternating full orchestra (tutti) with soloist passages
12-Bar Blues,Blues,"AAB (lyrical), I-IV-V (harmonic)",2-4 minutes,1900-present,"Blues, Rock, Jazz","Three 4-bar phrases, I-IV-V progression","Robert Johnson, B.B. King songs",3,0,0,0,Beginner,Foundation blues form with specific harmonic progression and lyrical pattern
