nct_type,chord_context_compatibility,harmonic_tension_level,chord_type,chord_function,compatibility_rating
passing_tone,all_chord_types,2,major,tonic,excellent_fit
passing_tone,all_chord_types,2,minor,tonic,excellent_fit
passing_tone,all_chord_types,2,diminished,predominant,moderate_fit
passing_tone,all_chord_types,2,augmented,tonic,excellent_fit
passing_tone,all_chord_types,2,major_seventh,dominant,moderate_fit
passing_tone,all_chord_types,2,minor_seventh,dominant,moderate_fit
passing_tone,all_chord_types,2,dominant_seventh,dominant,moderate_fit
passing_tone,all_chord_types,2,diminished_seventh,dominant,moderate_fit
passing_tone,all_chord_types,2,half_diminished,dominant,moderate_fit
passing_tone,all_chord_types,2,minor_major_seventh,dominant,moderate_fit
passing_tone,all_chord_types,2,ninth,dominant,moderate_fit
passing_tone,all_chord_types,2,eleventh,dominant,moderate_fit
passing_tone,all_chord_types,2,thirteenth,dominant,moderate_fit
passing_tone,all_chord_types,2,add9,tonic,excellent_fit
passing_tone,all_chord_types,2,sus2,tonic,excellent_fit
passing_tone,all_chord_types,2,sus4,tonic,excellent_fit
neighboring_tone,stable_chords_preferred,2,major,tonic,excellent_fit
neighboring_tone,stable_chords_preferred,2,minor,tonic,excellent_fit
neighboring_tone,stable_chords_preferred,2,diminished,predominant,moderate_fit
neighboring_tone,stable_chords_preferred,2,augmented,tonic,excellent_fit
neighboring_tone,stable_chords_preferred,2,major_seventh,dominant,moderate_fit
neighboring_tone,stable_chords_preferred,2,minor_seventh,dominant,moderate_fit
neighboring_tone,stable_chords_preferred,2,dominant_seventh,dominant,moderate_fit
neighboring_tone,stable_chords_preferred,2,diminished_seventh,dominant,moderate_fit
neighboring_tone,stable_chords_preferred,2,half_diminished,dominant,moderate_fit
neighboring_tone,stable_chords_preferred,2,minor_major_seventh,dominant,moderate_fit
neighboring_tone,stable_chords_preferred,2,ninth,dominant,moderate_fit
neighboring_tone,stable_chords_preferred,2,eleventh,dominant,moderate_fit
neighboring_tone,stable_chords_preferred,2,thirteenth,dominant,moderate_fit
neighboring_tone,stable_chords_preferred,2,add9,tonic,excellent_fit
neighboring_tone,stable_chords_preferred,2,sus2,tonic,excellent_fit
neighboring_tone,stable_chords_preferred,2,sus4,tonic,excellent_fit
upper_neighbor,various_contexts,2,major,tonic,excellent_fit
upper_neighbor,various_contexts,2,minor,tonic,excellent_fit
upper_neighbor,various_contexts,2,diminished,predominant,moderate_fit
upper_neighbor,various_contexts,2,augmented,tonic,excellent_fit
upper_neighbor,various_contexts,2,major_seventh,dominant,moderate_fit
upper_neighbor,various_contexts,2,minor_seventh,dominant,moderate_fit
upper_neighbor,various_contexts,2,dominant_seventh,dominant,moderate_fit
upper_neighbor,various_contexts,2,diminished_seventh,dominant,moderate_fit
upper_neighbor,various_contexts,2,half_diminished,dominant,moderate_fit
upper_neighbor,various_contexts,2,minor_major_seventh,dominant,moderate_fit
upper_neighbor,various_contexts,2,ninth,dominant,moderate_fit
upper_neighbor,various_contexts,2,eleventh,dominant,moderate_fit
upper_neighbor,various_contexts,2,thirteenth,dominant,moderate_fit
upper_neighbor,various_contexts,2,add9,tonic,excellent_fit
upper_neighbor,various_contexts,2,sus2,tonic,excellent_fit
upper_neighbor,various_contexts,2,sus4,tonic,excellent_fit
lower_neighbor,various_contexts,2,major,tonic,excellent_fit
lower_neighbor,various_contexts,2,minor,tonic,excellent_fit
lower_neighbor,various_contexts,2,diminished,predominant,moderate_fit
lower_neighbor,various_contexts,2,augmented,tonic,excellent_fit
lower_neighbor,various_contexts,2,major_seventh,dominant,moderate_fit
lower_neighbor,various_contexts,2,minor_seventh,dominant,moderate_fit
lower_neighbor,various_contexts,2,dominant_seventh,dominant,moderate_fit
lower_neighbor,various_contexts,2,diminished_seventh,dominant,moderate_fit
lower_neighbor,various_contexts,2,half_diminished,dominant,moderate_fit
lower_neighbor,various_contexts,2,minor_major_seventh,dominant,moderate_fit
lower_neighbor,various_contexts,2,ninth,dominant,moderate_fit
lower_neighbor,various_contexts,2,eleventh,dominant,moderate_fit
lower_neighbor,various_contexts,2,thirteenth,dominant,moderate_fit
lower_neighbor,various_contexts,2,add9,tonic,excellent_fit
lower_neighbor,various_contexts,2,sus2,tonic,excellent_fit
lower_neighbor,various_contexts,2,sus4,tonic,excellent_fit
suspension,dominant_predominant_chords,4,major,tonic,moderate_fit
suspension,dominant_predominant_chords,4,minor,tonic,moderate_fit
suspension,dominant_predominant_chords,4,diminished,predominant,moderate_fit
suspension,dominant_predominant_chords,4,augmented,tonic,moderate_fit
suspension,dominant_predominant_chords,4,major_seventh,dominant,excellent_fit
suspension,dominant_predominant_chords,4,minor_seventh,dominant,excellent_fit
suspension,dominant_predominant_chords,4,dominant_seventh,dominant,excellent_fit
suspension,dominant_predominant_chords,4,diminished_seventh,dominant,excellent_fit
suspension,dominant_predominant_chords,4,half_diminished,dominant,excellent_fit
suspension,dominant_predominant_chords,4,minor_major_seventh,dominant,excellent_fit
suspension,dominant_predominant_chords,4,ninth,dominant,excellent_fit
suspension,dominant_predominant_chords,4,eleventh,dominant,excellent_fit
suspension,dominant_predominant_chords,4,thirteenth,dominant,excellent_fit
suspension,dominant_predominant_chords,4,add9,tonic,moderate_fit
suspension,dominant_predominant_chords,4,sus2,tonic,moderate_fit
suspension,dominant_predominant_chords,4,sus4,tonic,moderate_fit
retardation,tonic_dominant_chords,4,major,tonic,moderate_fit
retardation,tonic_dominant_chords,4,minor,tonic,moderate_fit
retardation,tonic_dominant_chords,4,diminished,predominant,moderate_fit
retardation,tonic_dominant_chords,4,augmented,tonic,moderate_fit
retardation,tonic_dominant_chords,4,major_seventh,dominant,excellent_fit
retardation,tonic_dominant_chords,4,minor_seventh,dominant,excellent_fit
retardation,tonic_dominant_chords,4,dominant_seventh,dominant,excellent_fit
retardation,tonic_dominant_chords,4,diminished_seventh,dominant,excellent_fit
retardation,tonic_dominant_chords,4,half_diminished,dominant,excellent_fit
retardation,tonic_dominant_chords,4,minor_major_seventh,dominant,excellent_fit
retardation,tonic_dominant_chords,4,ninth,dominant,excellent_fit
retardation,tonic_dominant_chords,4,eleventh,dominant,excellent_fit
retardation,tonic_dominant_chords,4,thirteenth,dominant,excellent_fit
retardation,tonic_dominant_chords,4,add9,tonic,moderate_fit
retardation,tonic_dominant_chords,4,sus2,tonic,moderate_fit
retardation,tonic_dominant_chords,4,sus4,tonic,moderate_fit
appoggiatura,all_harmonic_contexts,5,major,tonic,moderate_fit
appoggiatura,all_harmonic_contexts,5,minor,tonic,moderate_fit
appoggiatura,all_harmonic_contexts,5,diminished,predominant,moderate_fit
appoggiatura,all_harmonic_contexts,5,augmented,tonic,moderate_fit
appoggiatura,all_harmonic_contexts,5,major_seventh,dominant,excellent_fit
appoggiatura,all_harmonic_contexts,5,minor_seventh,dominant,excellent_fit
