nct_type,harmonic_impact,dissonance_level,voice_leading_category,chord_type,chord_function,harmonic_context_type
accented_passing_tone,moderate_dissonance,3,stepwise,add9,tonic,mild_dissonance_context
accented_passing_tone,moderate_dissonance,3,stepwise,augmented,tonic,mild_dissonance_context
accented_passing_tone,moderate_dissonance,3,stepwise,diminished,predominant,mild_dissonance_context
accented_passing_tone,moderate_dissonance,3,stepwise,diminished_seventh,dominant,mild_dissonance_context
accented_passing_tone,moderate_dissonance,3,stepwise,dominant_seventh,dominant,mild_dissonance_context
accented_passing_tone,moderate_dissonance,3,stepwise,eleventh,dominant,mild_dissonance_context
accented_passing_tone,moderate_dissonance,3,stepwise,half_diminished,dominant,mild_dissonance_context
accented_passing_tone,moderate_dissonance,3,stepwise,major,tonic,mild_dissonance_context
accented_passing_tone,moderate_dissonance,3,stepwise,major_seventh,dominant,mild_dissonance_context
accented_passing_tone,moderate_dissonance,3,stepwise,minor,tonic,mild_dissonance_context
accented_passing_tone,moderate_dissonance,3,stepwise,minor_major_seventh,dominant,mild_dissonance_context
accented_passing_tone,moderate_dissonance,3,stepwise,minor_seventh,dominant,mild_dissonance_context
accented_passing_tone,moderate_dissonance,3,stepwise,ninth,dominant,mild_dissonance_context
accented_passing_tone,moderate_dissonance,3,stepwise,sus2,tonic,mild_dissonance_context
accented_passing_tone,moderate_dissonance,3,stepwise,sus4,tonic,mild_dissonance_context
accented_passing_tone,moderate_dissonance,3,stepwise,thirteenth,dominant,mild_dissonance_context
anticipation,variable_mild,1,stepwise,add9,tonic,consonant_context
anticipation,variable_mild,1,stepwise,augmented,tonic,consonant_context
anticipation,variable_mild,1,stepwise,diminished,predominant,consonant_context
anticipation,variable_mild,1,stepwise,diminished_seventh,dominant,consonant_context
anticipation,variable_mild,1,stepwise,dominant_seventh,dominant,consonant_context
anticipation,variable_mild,1,stepwise,eleventh,dominant,consonant_context
anticipation,variable_mild,1,stepwise,half_diminished,dominant,consonant_context
anticipation,variable_mild,1,stepwise,major,tonic,consonant_context
anticipation,variable_mild,1,stepwise,major_seventh,dominant,consonant_context
anticipation,variable_mild,1,stepwise,minor,tonic,consonant_context
anticipation,variable_mild,1,stepwise,minor_major_seventh,dominant,consonant_context
anticipation,variable_mild,1,stepwise,minor_seventh,dominant,consonant_context
anticipation,variable_mild,1,stepwise,ninth,dominant,consonant_context
anticipation,variable_mild,1,stepwise,sus2,tonic,consonant_context
anticipation,variable_mild,1,stepwise,sus4,tonic,consonant_context
anticipation,variable_mild,1,stepwise,thirteenth,dominant,consonant_context
appoggiatura,very_strong_dissonance,5,leap,add9,tonic,strong_dissonance_context
appoggiatura,very_strong_dissonance,5,leap,augmented,tonic,strong_dissonance_context
appoggiatura,very_strong_dissonance,5,leap,diminished,predominant,strong_dissonance_context
appoggiatura,very_strong_dissonance,5,leap,diminished_seventh,dominant,strong_dissonance_context
appoggiatura,very_strong_dissonance,5,leap,dominant_seventh,dominant,strong_dissonance_context
appoggiatura,very_strong_dissonance,5,leap,eleventh,dominant,strong_dissonance_context
appoggiatura,very_strong_dissonance,5,leap,half_diminished,dominant,strong_dissonance_context
appoggiatura,very_strong_dissonance,5,leap,major,tonic,strong_dissonance_context
appoggiatura,very_strong_dissonance,5,leap,major_seventh,dominant,strong_dissonance_context
appoggiatura,very_strong_dissonance,5,leap,minor,tonic,strong_dissonance_context
appoggiatura,very_strong_dissonance,5,leap,minor_major_seventh,dominant,strong_dissonance_context
appoggiatura,very_strong_dissonance,5,leap,minor_seventh,dominant,strong_dissonance_context
appoggiatura,very_strong_dissonance,5,leap,ninth,dominant,strong_dissonance_context
appoggiatura,very_strong_dissonance,5,leap,sus2,tonic,strong_dissonance_context
appoggiatura,very_strong_dissonance,5,leap,sus4,tonic,strong_dissonance_context
appoggiatura,very_strong_dissonance,5,leap,thirteenth,dominant,strong_dissonance_context
appoggiatura_group,very_strong_dissonance,5,leap,add9,tonic,strong_dissonance_context
appoggiatura_group,very_strong_dissonance,5,leap,augmented,tonic,strong_dissonance_context
appoggiatura_group,very_strong_dissonance,5,leap,diminished,predominant,strong_dissonance_context
appoggiatura_group,very_strong_dissonance,5,leap,diminished_seventh,dominant,strong_dissonance_context
appoggiatura_group,very_strong_dissonance,5,leap,dominant_seventh,dominant,strong_dissonance_context
appoggiatura_group,very_strong_dissonance,5,leap,eleventh,dominant,strong_dissonance_context
appoggiatura_group,very_strong_dissonance,5,leap,half_diminished,dominant,strong_dissonance_context
appoggiatura_group,very_strong_dissonance,5,leap,major,tonic,strong_dissonance_context
appoggiatura_group,very_strong_dissonance,5,leap,major_seventh,dominant,strong_dissonance_context
appoggiatura_group,very_strong_dissonance,5,leap,minor,tonic,strong_dissonance_context
appoggiatura_group,very_strong_dissonance,5,leap,minor_major_seventh,dominant,strong_dissonance_context
