key_name,key_signature_accidentals,number_of_accidentals,accidental_type,order_of_accidentals,relative_major_minor,circle_of_fifths_position,scale_degrees,enharmonic_equivalent
Key_C_Major,none,0,none,none,Key_A_minor,0_sharps_flats,Do_Re_Mi_Fa_Sol_La_Ti,none
Key_G_Major,F_sharp,1,sharp,F_sharp,Key_E_minor,1_sharp,Do_Re_Mi_Fa_Sol_La_Ti,none
Key_D_Major,"F_sharp,C_sharp",2,sharp,"F_sharp,C_sharp",Key_B_minor,2_sharps,Do_Re_Mi_Fa_Sol_La_Ti,none
Key_A_Major,"F_sharp,C_sharp,G_sharp",3,sharp,"F_sharp,C_sharp,G_sharp",Key_F_sharp_minor,3_sharps,Do_Re_Mi_Fa_Sol_La_Ti,none
Key_E_Major,"F_sharp,C_sharp,G_sharp,D_sharp",4,sharp,"F_sharp,C_sharp,G_sharp,D_sharp",Key_C_sharp_minor,4_sharps,Do_Re_Mi_Fa_Sol_La_Ti,none
Key_B_Major,"F_sharp,C_sharp,G_sharp,D_sharp,A_sharp",5,sharp,"F_sharp,C_sharp,G_sharp,D_sharp,A_sharp",Key_G_sharp_minor,5_sharps,Do_Re_Mi_Fa_Sol_La_Ti,none
Key_F_sharp_Major,"F_sharp,C_sharp,G_sharp,D_sharp,A_sharp,E_sharp",6,sharp,"F_sharp,C_sharp,G_sharp,D_sharp,A_sharp,E_sharp",Key_D_sharp_minor,6_sharps,Do_Re_Mi_Fa_Sol_La_Ti,G_flat_Major
Key_C_sharp_Major,"F_sharp,C_sharp,G_sharp,D_sharp,A_sharp,E_sharp,B_sharp",7,sharp,"F_sharp,C_sharp,G_sharp,D_sharp,A_sharp,E_sharp,B_sharp",Key_A_sharp_minor,7_sharps,Do_Re_Mi_Fa_Sol_La_Ti,D_flat_Major
Key_F_Major,B_flat,1,flat,B_flat,Key_D_minor,1_flat,Do_Re_Mi_Fa_Sol_La_Ti,none
Key_B_flat_Major,"B_flat,E_flat",2,flat,"B_flat,E_flat",Key_G_minor,2_flats,Do_Re_Mi_Fa_Sol_La_Ti,none
Key_E_flat_Major,"B_flat,E_flat,A_flat",3,flat,"B_flat,E_flat,A_flat",Key_C_minor,3_flats,Do_Re_Mi_Fa_Sol_La_Ti,none
Key_A_flat_Major,"B_flat,E_flat,A_flat,D_flat",4,flat,"B_flat,E_flat,A_flat,D_flat",Key_F_minor,4_flats,Do_Re_Mi_Fa_Sol_La_Ti,none
Key_D_flat_Major,"B_flat,E_flat,A_flat,D_flat,G_flat",5,flat,"B_flat,E_flat,A_flat,D_flat,G_flat",Key_B_flat_minor,5_flats,Do_Re_Mi_Fa_Sol_La_Ti,C_sharp_Major
Key_G_flat_Major,"B_flat,E_flat,A_flat,D_flat,G_flat,C_flat",6,flat,"B_flat,E_flat,A_flat,D_flat,G_flat,C_flat",Key_E_flat_minor,6_flats,Do_Re_Mi_Fa_Sol_La_Ti,F_sharp_Major
Key_C_flat_Major,"B_flat,E_flat,A_flat,D_flat,G_flat,C_flat,F_flat",7,flat,"B_flat,E_flat,A_flat,D_flat,G_flat,C_flat,F_flat",Key_A_flat_minor,7_flats,Do_Re_Mi_Fa_Sol_La_Ti,B_Major
Key_A_minor,none,0,none,none,Key_C_Major,0_accidentals_relative_Key_C,La_Ti_Do_Re_Mi_Fa_Sol,none
Key_E_minor,F_sharp,1,sharp,F_sharp,Key_G_Major,1_sharp_relative_Key_G,La_Ti_Do_Re_Mi_Fa_Sol,none
Key_B_minor,"F_sharp,C_sharp",2,sharp,"F_sharp,C_sharp",Key_D_Major,2_sharps_relative_Key_D,La_Ti_Do_Re_Mi_Fa_Sol,none
Key_F_sharp_minor,"F_sharp,C_sharp,G_sharp",3,sharp,"F_sharp,C_sharp,G_sharp",Key_A_Major,3_sharps_relative_Key_A,La_Ti_Do_Re_Mi_Fa_Sol,none
Key_C_sharp_minor,"F_sharp,C_sharp,G_sharp,D_sharp",4,sharp,"F_sharp,C_sharp,G_sharp,D_sharp",Key_E_Major,4_sharps_relative_Key_E,La_Ti_Do_Re_Mi_Fa_Sol,none
Key_G_sharp_minor,"F_sharp,C_sharp,G_sharp,D_sharp,A_sharp",5,sharp,"F_sharp,C_sharp,G_sharp,D_sharp,A_sharp",Key_B_Major,5_sharps_relative_Key_B,La_Ti_Do_Re_Mi_Fa_Sol,A_flat_minor
Key_D_minor,B_flat,1,flat,B_flat,Key_F_Major,1_flat_relative_Key_F,La_Ti_Do_Re_Mi_Fa_Sol,none
Key_G_minor,"B_flat,E_flat",2,flat,"B_flat,E_flat",Key_B_flat_Major,2_flats_relative_Key_B_flat,La_Ti_Do_Re_Mi_Fa_Sol,none
Key_C_minor,"B_flat,E_flat,A_flat",3,flat,"B_flat,E_flat,A_flat",Key_E_flat_Major,3_flats_relative_Key_E_flat,La_Ti_Do_Re_Mi_Fa_Sol,none
Key_F_minor,"B_flat,E_flat,A_flat,D_flat",4,flat,"B_flat,E_flat,A_flat,D_flat",Key_A_flat_Major,4_flats_relative_Key_A_flat,La_Ti_Do_Re_Mi_Fa_Sol,none
Key_B_flat_minor,"B_flat,E_flat,A_flat,D_flat,G_flat",5,flat,"B_flat,E_flat,A_flat,D_flat,G_flat",Key_D_flat_Major,5_flats_relative_Key_D_flat,La_Ti_Do_Re_Mi_Fa_Sol,A_sharp_minor
