term_name,category,definition,detailed_description,examples,related_terms,musical_context
Beat Frequency,acoustics,Interference pattern created when two slightly different frequencies are played together,Used in Stratum2 for cymatic tuning analysis and natural resonance effects.,440Hz and 432Hz creating 8Hz beat frequency,"cymatic_tuning,resonance,acoustics",Acoustic phenomenon in tuning systems
anxiety potential,brightness_darkness_stability,"The capacity of certain chord combinations or harmonic structures to evoke feelings of unease, tension, or psychological discomfort in listeners.",,,,
color associations,brightness_darkness_stability,"Psychological connections between certain chords or harmonic progressions and specific colors, often culturally influenced and personally subjective.",,,,
contemplative quality,brightness_darkness_stability,"The capacity of certain harmonies to evoke thoughtful, meditative, or introspective emotional states in listeners.",,,,
energy level association,brightness_darkness_stability,"The connection between certain chord qualities and perceived energy levels, from restful to highly energetic.",,,,
euphoria potential,brightness_darkness_stability,"The capacity of certain chord combinations to evoke feelings of joy, elation, or transcendent happiness.",,,,
melancholy potential,brightness_darkness_stability,"The capacity of certain chord combinations to evoke feelings of sadness, wistfulness, or gentle sorrow.",,,,
perceived stability,brightness_darkness_stability,The degree of harmonic rest or equilibrium that listeners sense in different chord combinations.,,,,
psychological comfort,brightness_darkness_stability,The mental ease and security that certain chord combinations can provide to listeners.,,,,
seasonal associations,brightness_darkness_stability,Psychological connections between certain harmonies and specific times of year or seasonal moods.,,,,
time of day associations,brightness_darkness_stability,Psychological connections between certain harmonies and specific times of day or circadian moods.,,,,
weather associations,brightness_darkness_stability,Psychological connections between certain harmonies and specific weather conditions or atmospheric moods.,,,,
Authentic Cadence,cadence_and_counterpoint,"A cadence moving from dominant (V) to tonic (I), providing strong harmonic resolution and sense of closure, the most common cadence in tonal music.",,,,
Cadence,cadence_and_counterpoint,"A harmonic progression that provides closure or resolution at the end of phrases, sections, or pieces, creating punctuation in musical discourse.",,,,
Chromatic Voice Leading,cadence_and_counterpoint,Voice leading that employs chromatic (half-step) motion to create smooth connections between chords while maintaining harmonic interest.,,,,
Conjunct Motion,cadence_and_counterpoint,"Melodic movement by step (whole steps and half steps), creating smooth, flowing melodic lines that are easy to sing and follow.",,,,
Counterpoint,cadence_and_counterpoint,"The art of combining multiple independent melodic lines simultaneously, creating harmonic interest through melodic interaction rather than chordal thinking.",,,,
Disjunct Motion,cadence_and_counterpoint,"Melodic movement by leaps (intervals larger than a second), creating more dramatic, angular melodic contours.",,,,
Figured Bass,cadence_and_counterpoint,"A baroque notation system using numbers below bass notes to indicate intervals and chord types, allowing performers to realize harmonies.",,,,
Figured Bass Realization,cadence_and_counterpoint,"The process of creating full harmonic textures from figured bass notation, requiring knowledge of voice leading and harmonic principles.",,,,
Imitative Counterpoint,cadence_and_counterpoint,"A contrapuntal technique where melodic material is echoed or imitated between different voices, creating structural unity.",,,,
Invertible Counterpoint,cadence_and_counterpoint,Counterpoint written so that voices can exchange positions (upper voice becomes lower and vice versa) while maintaining harmonic correctness.,,,,
Leap,cadence_and_counterpoint,"A melodic interval larger than a second, creating dramatic effect and requiring careful treatment in voice leading.",,,,
Linear Progression,cadence_and_counterpoint,Melodic lines that create harmonic progression through their horizontal movement rather than vertical chord structures.,,,,
Modal Polyphony,cadence_and_counterpoint,"Renaissance-era counterpoint based on church modes rather than major/minor tonality, with different voice leading conventions.",,,,
